,Country,Elect_tech,Grid_status,2008 Gen Est,2009 Gen Est,2010 Gen Est,2011 Gen Est,2012 Gen Est,2013 Gen Est,2014 Gen Est,2015 Gen Est,2016 Gen Est,2017 Gen Est,2018 Gen Est,2019 Gen Est
437,Guam,On-grid Solar photovoltaic,On-grid,,0.082,0.164,0.245,0.573,1.473,2.618,30.88,66.343,59.632,67.962,67.962
438,Guatemala,Fossil fuels,On-grid,3364.015,3779.148,2995.527,2991.167,3027.492,3132.813,3236.124,4334.483,4452.63,3460.04,3761.905,3826.635
439,Guatemala,Geothermal energy,On-grid,271.977,279.94,259.308,237.08,245.628,212.346,246.6,251.535,289.14,253.0,249.754,262.137
440,Guatemala,Off-grid Solar photovoltaic,Off-grid,0.557,0.673,0.836,1.08,2.118,3.556,7.548,11.54,11.54,11.54,11.54,11.54
441,Guatemala,Renewable hydropower,On-grid,3624.769,2892.863,3767.033,4094.167,4434.827,4630.728,4825.151,3851.792,3951.29,5765.33,5190.985,4381.129
442,Guatemala,Solid biofuels,On-grid,656.592,1025.517,892.044,824.128,995.521,1295.587,1467.287,1602.361,1769.36,1577.67,2765.607,3169.481
443,Guinea,Fossil fuels,On-grid,294.0,279.0,474.7,414.3,490.5,482.2,287.0,238.0,512.0,541.0,732.0,756.0
444,Guinea,Off-grid Solar photovoltaic,Off-grid,,0.925,0.925,0.925,0.925,5.194,5.194,20.453,20.462,20.462,20.47,20.47
445,Guinea,Renewable hydropower,Off-grid,6.847,8.271,7.023,7.233,7.265,9.476,9.418,6.452,9.843,9.024,9.024,9.024
446,Guinea,Renewable hydropower,On-grid,487.742,453.851,140.9,133.8,237.5,144.4,426.0,881.0,1084.0,1212.0,1182.0,1280.0
447,Guinea-Bissau,Fossil fuels,On-grid,29.81,30.89,31.95,33.17,34.25,35.36,35.36,36.35,37.67,37.67,37.67,37.67
448,Guyana,Fossil fuels,Off-grid,165.146,161.649,162.054,168.502,166.117,165.753,172.602,164.718,157.467,149.727,145.644,145.644
449,Guyana,Fossil fuels,On-grid,611.583,636.075,676.312,709.149,744.349,765.858,774.328,806.671,859.709,876.954,896.749,896.749
450,Guyana,Off-grid Solar photovoltaic,Off-grid,0.098,0.128,0.248,1.333,1.394,1.454,1.518,2.112,2.364,2.382,2.41,2.587
451,Guyana,Onshore wind energy,Off-grid,0.071,0.071,0.071,0.071,0.11,0.12,0.131,0.35,0.35,0.35,0.35,0.35
452,Guyana,Solid biofuels,Off-grid,37.018,33.643,34.218,38.69,33.248,30.908,27.33,27.098,19.628,16.097,23.376,23.376
453,Guyana,Solid biofuels,On-grid,,38.141,58.79,52.003,35.949,52.637,50.873,36.04,62.783,66.237,58.701,58.701
454,Haiti,Fossil fuels,On-grid,305.0,514.0,410.0,853.0,879.0,914.0,943.0,955.0,1013.0,1013.0,1013.0,1013.0
